SCUDDER, Henry Joel, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000197
SCUDDER, Isaac Williamson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000199
SENER, James Beverley, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000240
SESSIONS, Walter Loomis, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000251
SHANKS, John Peter Cleaver, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000284
SHEATS, Charles Christopher, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000314
SHELDON, Lionel Allen, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000322
SHERIDAN, George Augustus, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000341
SHERMAN, John, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000346
SHERWOOD, Isaac R., http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000355
SHOEMAKER, Lazarus Denison, http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000375
